Units,Discounts,Fixed Costs,Variable Costs,Revenue,month,qtr,Year,region,country,State,ProductType,Product,Source,YearMonth
9,23.94,72.74,368.58,3754.3,February,Qtr 1,2017,AMERICAS,United States,Missouri,Avocados,Avocado,Peru,2017-02
12,0,945.88,5215.16,83976.6,April,Qtr 2,2017,AMERICAS,United States,California,Avocados,Avocado,Mexico,2017-04
9,1.41,7.53,36.1,375.2,March,Qtr 1,2017,AMERICAS,United States,Missouri,Avocados,Avocado,Mexico,2017-03
24,236.5,759.64,1828.13,62857.9,November,Qtr 4,2017,AMERICAS,United States,California,Avocados,Avocado,Peru,2017-11
12,20.83,195.45,818.08,22187.2,July,Qtr 3,2017,AMERICAS,United States,Arizona,Oils and Butters,Butter,Peru,2017-07
13,189.55,608.93,5494.94,67315.9,November,Qtr 4,2017,AMERICAS,United States,Pennsylvania,Avocados,Avocado,Mexico,2017-11
10,31.45,108.32,329.57,11178.1,June,Qtr 2,2017,AMERICAS,United States,Colorado,Avocados,Avocado,Peru,2017-06
12,0,8874.92,812.85,62081.9,April,Qtr 2,2017,AMERICAS,United States,Florida,Cosmetics,Hair,Peru,2017-04
10,20,168.83,1104.13,10655.7,June,Qtr 2,2017,AMERICAS,United States,Wisconsin,Avocados,Avocado,Dominican Republic,2017-06
9,1.86,9.14,28.7,455.6,February,Qtr 1,2017,AMERICAS,United States,Idaho,Cosmetics,Hair,Dominican Republic,2017-02
19,0,354.48,33.84,2320.3,January,Qtr 1,2017,AMERICAS,United States,Hawaii,Avocados,Avocado,Mexico,2017-01
13,313.2,480.3,2306.78,66738,December,Qtr 4,2017,AMERICAS,United States,Michigan,Avocados,Avocado,Peru,2017-12
12,0,887.5,4077.36,58977.8,April,Qtr 2,2017,AMERICAS,United States,Vermont,Avocados,Avocado,Dominican Republic,2017-04
4,0.53,24.97,1.93,165.8,February,Qtr 1,2017,AMERICAS,United States,Vermont,Avocados,Avocado,Peru,2017-02
13,0,556.63,2324.89,67255.4,November,Qtr 4,2017,AMERICAS,United States,Wyoming,Avocados,Avocado,Mexico,2017-11
